Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,fdr
Camptothecin,1003,TOP1,DNA replication,ARID1A_mut,3,26,0.294808467,-0.52900034,-1.091092854,0.672637476,0.562092514,1.937999143,1.90410492,0.63264525,0.0
Camptothecin,1003,TOP1,DNA replication,CDKN2A_mut,4,25,0.32424782,-0.501250385,-1.118016547,0.518058639,0.616766162,1.583342674,1.938311263,0.552122219,0.0
Camptothecin,1003,TOP1,DNA replication,EP300_mut,3,26,0.314747489,-1.570651471,-0.970902339,0.432473126,-0.599749132,0.993101038,1.960223411,0.609922831,0.0
Camptothecin,1003,TOP1,DNA replication,RNF43_mut,4,25,0.785428564,0.215359776,-1.232674173,0.227888204,1.448033949,1.894323213,1.837186788,0.156237388,0.0
Camptothecin,1003,TOP1,DNA replication,SMAD4_mut,8,21,0.546444939,-0.298392862,-1.312774873,0.257923942,1.014382011,2.146765263,1.743283093,0.199493087,0.0
Camptothecin,1003,TOP1,DNA replication,TP53_mut,24,5,1.137501093,-1.376013828,0.61378333,0.140028475,-1.989797158,1.607753194,2.40658281,0.028523051,0.0
Camptothecin,1003,TOP1,DNA replication,cnaPAAD2,10,19,0.340997758,-1.454840716,-0.810895161,0.342788709,-0.643945555,1.479552999,2.062676135,0.390452654,0.0
Camptothecin,1003,TOP1,DNA replication,cnaPAAD3,3,26,0.689332536,-2.18932632,-0.899516779,0.127423283,-1.28980954,0.974963339,1.924850338,0.268201293,0.0
Camptothecin,1003,TOP1,DNA replication,cnaPAAD4,17,12,0.583635561,-1.476147013,-0.405076334,0.120021969,-1.071070678,1.979520198,1.602156291,0.133276285,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,ARID1A_mut,3,25,1.010249887,0.381633632,-1.708129966,0.061772803,2.089763598,1.173225357,2.126221738,0.110273214,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,CDKN2A_mut,3,25,1.010249887,0.381633632,-1.708129966,0.061772803,2.089763598,1.173225357,2.126221738,0.110273214,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,EP300_mut,3,25,0.475564316,-2.397010186,-1.374692708,0.555949347,-1.022317479,2.4898234,2.118886157,0.443403521,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,RNF43_mut,3,25,1.271682465,0.801775913,-1.75854704,0.137049004,2.560322953,1.944524812,2.018963442,0.047397242,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,SMAD4_mut,8,20,0.782848414,-0.342693794,-1.940839895,0.118440496,1.5981461,2.377356709,1.902805741,0.072587813,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,TP53_mut,23,5,0.776426514,-1.772323156,-0.158983135,0.291568399,-1.61334002,1.886908995,2.912493987,0.12769145,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,cnaPAAD2,9,19,0.293758174,-1.913373633,-1.280946608,0.407651047,-0.632427025,1.546768513,2.373085311,0.474351819,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,cnaPAAD3,3,25,1.567466369,-4.202930041,-1.157982325,0.041305803,-3.044947716,1.395804051,1.981358156,0.016423548,0.0
Vinblastine,1004,Microtubule destabiliser,Mitosis,cnaPAAD4,17,11,0.6292316,-1.996369386,-0.692733518,0.096068879,-1.303635868,2.268607859,1.710405669,0.115985588,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,ARID1A_mut,3,26,0.17202183,5.554949035,5.188033048,0.813001941,0.366915987,2.301357862,2.118912025,0.780003777,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,CDKN2A_mut,4,25,0.466300095,6.072986883,5.090470352,0.442122709,0.98251653,2.145759738,2.10215854,0.394175765,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,EP300_mut,3,26,1.255099456,2.991268754,5.483842311,0.118833118,-2.492573557,1.764348001,2.002626609,0.049322724,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,RNF43_mut,4,25,0.90249797,6.807679847,4.972919478,0.180445103,1.834760369,2.107229406,2.023507328,0.105302418,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,SMAD4_mut,8,21,0.639731132,6.174767774,4.864550674,0.113050294,1.3102171,1.766204798,2.137967557,0.135257824,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,TP53_mut,24,5,0.470240262,5.055665385,6.04354742,0.319655331,-0.987882035,2.148256477,1.803878731,0.347277412,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,cnaPAAD2,10,19,0.088218788,5.102642691,5.290909444,0.822873739,-0.188266753,2.110443542,2.145814171,0.823051525,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,cnaPAAD3,3,26,0.589530543,4.116014973,5.354063901,0.272014727,-1.238048928,1.439003434,2.14415699,0.34220513,0.0
Cisplatin,1005,DNA crosslinker,DNA replication,cnaPAAD4,17,12,1.111550364,4.371445466,6.436594451,0.00455431,-2.065148985,2.045834089,1.544237432,0.006522399,0.0
Cytarabine,1006,Antimetabolite,Other,ARID1A_mut,3,25,0.913882878,4.129183427,2.53454208,0.320297209,1.594641346,2.116121178,1.710340424,0.146774452,0.0
Cytarabine,1006,Antimetabolite,Other,CDKN2A_mut,3,25,0.913882878,4.129183427,2.53454208,0.320297209,1.594641346,2.116121178,1.710340424,0.146774452,0.0
Cytarabine,1006,Antimetabolite,Other,EP300_mut,3,25,0.482371379,1.931442047,2.798271046,0.505555877,-0.866828999,1.835826121,1.793743726,0.436980777,0.0
Cytarabine,1006,Antimetabolite,Other,RNF43_mut,3,25,0.491640449,3.493864985,2.610780293,0.092111868,0.883084692,0.518329604,1.863547093,0.428326781,0.0
Cytarabine,1006,Antimetabolite,Other,SMAD4_mut,8,20,0.132140154,2.876701833,2.636874382,0.751039065,0.239827451,1.74192874,1.841119383,0.754618872,0.0
Cytarabine,1006,Antimetabolite,Other,TP53_mut,23,5,1.170162211,2.360861538,4.290257385,0.071169181,-1.929395848,1.623322293,1.782596079,0.02540862,0.0
Cytarabine,1006,Antimetabolite,Other,cnaPAAD2,9,19,0.692923091,1.894861797,3.089334006,0.111094856,-1.194472209,1.76444044,1.705450734,0.098727491,0.0
Cytarabine,1006,Antimetabolite,Other,cnaPAAD3,3,25,0.951521884,1.227881965,2.882698256,0.015707563,-1.654816291,0.649343464,1.800407728,0.131491057,0.0
Cytarabine,1006,Antimetabolite,Other,cnaPAAD4,17,11,0.822454729,2.163078578,3.543524224,0.061341349,-1.380445646,1.480419576,1.953980802,0.043210949,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,ARID1A_mut,3,26,0.408721069,-2.428726555,-3.008933084,0.51915429,0.580206529,1.265629071,1.431165836,0.508353834,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,CDKN2A_mut,4,25,0.562257272,-2.268735138,-3.057739972,0.25538126,0.789004834,1.081788786,1.438423881,0.305704209,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,EP300_mut,3,26,0.245414851,-3.262902363,-2.91268203,0.517654829,-0.350220333,0.704709055,1.469582828,0.690496413,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,RNF43_mut,4,25,1.056910372,-1.728910274,-3.144111951,0.173365452,1.415201676,1.595220929,1.303434371,0.060069195,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,SMAD4_mut,8,21,0.066926505,-2.879577072,-2.975324918,0.894644912,0.095747847,1.833793879,1.259409793,0.87322611,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,TP53_mut,24,5,0.184481915,-2.994320056,-2.730951704,0.784066399,-0.263368352,1.318080623,1.940954057,0.71039064,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,cnaPAAD2,10,19,0.085936009,-3.029427583,-2.906534949,0.807850941,-0.122892634,1.095647652,1.570775243,0.827553303,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,cnaPAAD3,3,26,1.500613528,-4.689259157,-2.7481024,0.031182907,-1.941156757,0.824110399,1.323960606,0.020534132,0.0
Docetaxel,1007,Microtubule stabiliser,Mitosis,cnaPAAD4,17,12,0.269936981,-3.107292091,-2.724539526,0.458159183,-0.382752565,1.564408701,1.172659289,0.480173184,0.0
Methotrexate,1008,Antimetabolite,DNA replication,ARID1A_mut,3,26,0.766419517,1.79713236,0.110610083,0.379683261,1.686522277,2.606771148,2.164729968,0.219540311,0.0
Methotrexate,1008,Antimetabolite,DNA replication,CDKN2A_mut,4,25,1.038563786,2.185390199,-0.018972062,0.144486569,2.204362261,2.265644973,2.103933814,0.064360622,0.0
Methotrexate,1008,Antimetabolite,DNA replication,EP300_mut,3,26,0.782874775,-1.257591303,0.463078198,0.239513586,-1.720669501,1.83866346,2.224118791,0.210076336,0.0
Methotrexate,1008,Antimetabolite,DNA replication,RNF43_mut,4,25,1.116902819,2.309634037,-0.038851076,0.076421031,2.348485113,1.848218954,2.13234953,0.04773797,0.0
Methotrexate,1008,Antimetabolite,DNA replication,SMAD4_mut,8,21,0.305273733,0.780625832,0.096297742,0.45681636,0.68432809,2.096129283,2.290447591,0.468820218,0.0
Methotrexate,1008,Antimetabolite,DNA replication,TP53_mut,24,5,1.008749328,-0.08115697,2.043005307,0.075277573,-2.124162277,2.124905579,1.991951759,0.049983597,0.0
Methotrexate,1008,Antimetabolite,DNA replication,cnaPAAD2,10,19,0.373782555,-0.260188661,0.572060308,0.388738129,-0.83224897,2.573187904,2.031182042,0.347184161,0.0
Methotrexate,1008,Antimetabolite,DNA replication,cnaPAAD3,3,26,0.58409053,-0.880851616,0.419608234,0.398173478,-1.30045985,2.095758059,2.236596618,0.34660359,0.0
Methotrexate,1008,Antimetabolite,DNA replication,cnaPAAD4,17,12,0.615799254,-0.265270283,1.064737838,0.135752022,-1.330008121,1.893168665,2.497333089,0.114023384,0.0
Gefitinib,1010,EGFR,EGFR signaling,ARID1A_mut,3,26,1.103957409,4.846204314,3.850458439,0.044438508,0.995745875,0.49705418,0.92676073,0.081359868,0.0
Gefitinib,1010,EGFR,EGFR signaling,CDKN2A_mut,4,25,1.160446495,4.836106926,3.812244186,0.004510733,1.023862739,0.406345175,0.92472794,0.040250402,0.0
Gefitinib,1010,EGFR,EGFR signaling,EP300_mut,3,26,0.176483179,4.104364625,3.936055327,0.666666195,0.168309298,0.530298443,0.979682726,0.774459177,0.0
Gefitinib,1010,EGFR,EGFR signaling,RNF43_mut,4,25,0.67935249,4.497065424,3.866490827,0.015357436,0.630574598,0.265705202,0.98001202,0.217909982,0.0
Gefitinib,1010,EGFR,EGFR signaling,SMAD4_mut,8,21,0.297448864,4.157277607,3.875824358,0.479660208,0.281453249,0.921972254,0.954566541,0.480183715,0.0
Gefitinib,1010,EGFR,EGFR signaling,TP53_mut,24,5,0.534277299,3.867343762,4.366856416,0.193289511,-0.499512654,0.975884627,0.651257607,0.28672327,0.0
Gefitinib,1010,EGFR,EGFR signaling,cnaPAAD2,10,19,0.1047728,3.887987338,3.98792942,0.804476505,-0.099942082,1.078277994,0.885170709,0.790599107,0.0
Gefitinib,1010,EGFR,EGFR signaling,cnaPAAD3,3,26,1.41619834,2.846272698,4.08121978,0.104897183,-1.234947082,0.815247433,0.876398244,0.027981673,0.0
Gefitinib,1010,EGFR,EGFR signaling,cnaPAAD4,17,12,0.643881051,3.71170144,4.295967324,0.095125131,-0.584265884,0.938424279,0.860311883,0.099159892,0.0
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,ARID1A_mut,3,25,0.22479002,2.586349602,2.310988593,0.480483129,0.275361009,0.463790665,1.267940081,0.715926702,91.40776411
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,CDKN2A_mut,4,24,0.839356213,3.185695465,2.19962424,0.217762227,0.986071225,1.257085137,1.163632203,0.13222952,87.22864047
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,EP300_mut,3,25,0.117166092,2.468881184,2.325084803,0.582315879,0.143796381,0.062991964,1.277271017,0.849421495,91.40776411
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,RNF43_mut,4,24,0.058840426,2.402418952,2.330170326,0.956482549,0.072248626,2.416771842,0.970817155,0.914077641,91.40776411
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,SMAD4_mut,7,21,0.267587855,2.095774945,2.422063762,0.467820788,-0.326288817,0.882352374,1.303595405,0.545123028,91.40776411
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,TP53_mut,23,5,0.658136407,2.480131384,1.698148359,0.297931043,0.781983024,1.142052727,1.415244416,0.193841423,87.22864047
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,cnaPAAD2,10,18,0.074343641,2.281835258,2.373078391,0.866955855,-0.091243133,1.496323114,1.057551731,0.851951779,91.40776411
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,cnaPAAD3,3,25,0.503495474,2.885536153,2.275086206,0.165160806,0.610449947,0.504758501,1.253490166,0.41741353,91.40776411
Navitoclax,1011,"BCL2, BCL-XL, BCL-W",Apoptosis regulation,cnaPAAD4,17,11,0.256132994,2.463044656,2.151091316,0.589961951,0.311953339,0.624708713,1.797869069,0.513845205,91.40776411
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,ARID1A_mut,3,26,0.093194847,2.820413998,2.922398801,0.857198482,-0.101984803,0.816762347,1.113537827,0.879660082,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,CDKN2A_mut,4,25,0.153536653,3.056536698,2.888698561,0.733479919,0.167838137,0.817159433,1.122886038,0.777735204,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,EP300_mut,3,26,0.244978267,2.672108965,2.93951092,0.723010522,-0.267401955,1.10585756,1.090379313,0.691017044,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,RNF43_mut,4,25,0.901245456,3.721473985,2.782308595,0.007341821,0.93916539,0.39329512,1.096505948,0.105763314,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,SMAD4_mut,8,21,0.299533382,2.676637743,3.001452804,0.439823577,-0.324815061,0.922958632,1.135499225,0.477141103,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,TP53_mut,24,5,0.1455403,2.939275936,2.780197672,0.695491172,0.159078264,1.146885168,0.707756317,0.769451977,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,cnaPAAD2,10,19,0.390545148,2.636763933,3.056630079,0.367473376,-0.419866146,1.238459393,0.983257511,0.326354042,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,cnaPAAD3,3,26,0.459945899,3.358619525,2.860298164,0.465612914,0.498321362,0.946719347,1.09363389,0.457186657,0.0
Vorinostat,1012,"HDAC inhibitor Class I, IIa, IIb, IV",Chromatin histone acetylation,cnaPAAD4,17,12,0.159610394,2.83978118,3.01394423,0.668043546,-0.174163049,1.14901924,1.001092123,0.675408917,0.0
Nilotinib,1013,ABL,ABL signaling,ARID1A_mut,3,26,0.262848319,4.377409663,4.148085257,0.607146847,0.229324406,0.625536983,0.889255831,0.669835568,0.0
Nilotinib,1013,ABL,ABL signaling,CDKN2A_mut,4,25,0.548314705,4.577900661,4.106833721,0.25860067,0.47106694,0.649346522,0.881837578,0.317622837,0.0
Nilotinib,1013,ABL,ABL signaling,EP300_mut,3,26,0.28124111,3.951929175,4.19717916,0.319644277,-0.245249984,0.264128071,0.903153055,0.64832057,0.0
Nilotinib,1013,ABL,ABL signaling,RNF43_mut,4,25,0.268409295,4.37345242,4.13954544,0.509851073,0.23390698,0.560745741,0.90280739,0.62222168,0.0
Nilotinib,1013,ABL,ABL signaling,SMAD4_mut,8,21,0.100346863,4.235354866,4.147600321,0.733097617,0.087754545,0.380683843,0.990817497,0.810974284,0.0
Nilotinib,1013,ABL,ABL signaling,TP53_mut,24,5,0.221091126,4.138561116,4.331395778,0.603643359,-0.192834661,0.901443312,0.680030993,0.656486843,0.0
Nilotinib,1013,ABL,ABL signaling,cnaPAAD2,10,19,0.3273942,3.986418888,4.269381937,0.446354174,-0.282963049,0.988970101,0.794645228,0.409382975,0.0
Nilotinib,1013,ABL,ABL signaling,cnaPAAD3,3,26,0.542719079,3.751947848,4.220253928,0.121265024,-0.46830608,0.336064385,0.891688086,0.381291674,0.0
Nilotinib,1013,ABL,ABL signaling,cnaPAAD4,17,12,0.670177098,3.942099758,4.49722915,0.095640239,-0.555129392,0.787381788,0.884518934,0.086756072,0.0
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,ARID1A_mut,3,24,0.133876196,1.704556475,1.867533739,0.773566103,-0.162977265,0.791772699,1.24753874,0.828721793,92.72966313
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,CDKN2A_mut,4,23,0.11926764,1.725743722,1.870934969,0.738055893,-0.145191246,0.647866964,1.275463038,0.827535945,92.72966313
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,EP300_mut,3,24,1.1697587,0.665843479,1.997372864,0.15121084,-1.331529385,1.071592127,1.143910438,0.06764243,60.87818737
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,RNF43_mut,3,24,0.235962938,1.594599093,1.881278412,0.358701874,-0.286679319,0.276948419,1.264020412,0.703255095,92.72966313
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,SMAD4_mut,8,19,0.059465609,1.900395933,1.827963774,0.902461045,0.072432159,1.465297878,1.107086649,0.888927152,92.72966313
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,TP53_mut,23,4,0.503681451,1.760031018,2.363441436,0.424450988,-0.603410418,1.188753995,1.263739333,0.361389887,92.72966313
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,cnaPAAD2,9,18,0.037628744,1.818862358,1.864706552,0.938182005,-0.045844194,1.583182071,1.001658092,0.927296631,92.72966313
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,cnaPAAD3,3,24,0.156604909,1.680021048,1.870600668,0.690022055,-0.19057962,0.634149381,1.25489667,0.800248102,92.72966313
Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,cnaPAAD4,17,10,0.223244094,1.949550953,1.679211296,0.574178838,0.270339658,1.241481929,1.154708339,0.580346653,92.72966313
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,ARID1A_mut,3,23,0.028579859,2.516686471,2.480773803,0.978583523,0.035912668,2.029310027,1.16109659,0.963250452,96.32504517
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,CDKN2A_mut,4,22,0.565434455,3.073032692,2.377987551,0.541553365,0.695045141,1.99586671,1.076000077,0.308591415,69.43306845
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,EP300_mut,3,23,0.68362192,1.743886346,2.581573819,0.105968051,-0.837687473,0.580404234,1.267833184,0.276453346,69.43306845
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,RNF43_mut,3,23,1.02667912,3.564998276,2.344037481,0.322981113,1.220960795,1.631433831,1.140563183,0.107408829,67.12083892
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,SMAD4_mut,7,19,0.65894701,3.063836366,2.271631701,0.139670208,0.792204665,1.09287025,1.236533461,0.14915742,67.12083892
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,TP53_mut,22,4,0.471751211,2.574721729,1.990994709,0.551624785,0.58372702,1.154751129,1.707151571,0.394046921,70.92844574
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,cnaPAAD2,8,18,0.189434095,2.320792974,2.557861838,0.685468034,-0.237068864,1.409599701,1.180198079,0.659728227,84.82220058
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,cnaPAAD3,3,23,0.388673165,2.056419493,2.540808626,0.534236644,-0.484389133,1.093942048,1.259197429,0.532608293,79.89124394
Temsirolimus,1016,MTOR,PI3K/MTOR signaling,cnaPAAD4,16,10,0.109055569,2.432289129,2.569123082,0.795171523,-0.136833952,1.201101428,1.33931683,0.789062742,88.76955852
Olaparib,1017,"PARP1, PARP2",Genome integrity,ARID1A_mut,3,26,0.287445206,5.848927937,5.485701809,0.504697104,0.363226129,0.729707077,1.296888736,0.641131526,82.43119615
Olaparib,1017,"PARP1, PARP2",Genome integrity,CDKN2A_mut,4,25,0.584197105,6.148793865,5.423194215,0.196767496,0.72559965,0.845375603,1.283035631,0.28759023,51.76624131
Olaparib,1017,"PARP1, PARP2",Genome integrity,EP300_mut,3,26,0.01010721,5.511779345,5.524603569,0.990008235,-0.012824224,1.539417567,1.244632545,0.986896759,98.68967593
