Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,fdr,-log10_pval,fdr_scaled,sensitive,Response_Label,Pathway_Score,Drug name_Enc,Drug target_Enc,Target Pathway_Enc,Feature Name_Enc
Camptothecin,1003,TOP1,DNA replication,ARID1A_mut,3,26,0.12230642374140402,0.30648266032967386,0.20720979729836955,0.6728788976838265,0.5946812630782978,0.5156420785578937,0.480637526796204,0.6328254804335469,0.0,0.05371318940931158,0.0,1.0,0,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,0
Camptothecin,1003,TOP1,DNA replication,CDKN2A_mut,4,25,0.13453023072303724,0.308079581471033,0.20552207600454947,0.5182445716172582,0.6036951337247414,0.4208625885065848,0.4900697176320381,0.5522540291336022,0.0,0.06969881353021436,0.0,1.0,0,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,1
Camptothecin,1003,TOP1,DNA replication,EP300_mut,3,26,0.13058550366311758,0.24653896986190546,0.21474398257825303,0.4326283360402205,0.40313212209734217,0.26312459087505075,0.49611185904303434,0.6100893979346722,0.0,0.05800811199303464,0.0,1.0,0,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,2
Camptothecin,1003,TOP1,DNA replication,RNF43_mut,4,25,0.32602168090205463,0.34931820388370494,0.19833472184406864,0.22796997432120056,0.7407436128123898,0.5039699881415289,0.46218525929126963,0.15613114372826611,0.0,0.21792914786051915,0.0,0.0,1,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,3
Camptothecin,1003,TOP1,DNA replication,SMAD4_mut,8,21,0.22679090963574938,0.31975338300197015,0.19331358090920897,0.25801649423092154,0.6692487955155526,0.5714333811933189,0.4362918870757726,0.19941285334776077,0.0,0.18923131398842477,0.0,0.0,1,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,4
Camptothecin,1003,TOP1,DNA replication,TP53_mut,24,5,0.4722092223888348,0.25773974359328633,0.3140805686692778,0.1400787063702952,0.17395932026220035,0.4273861312577175,0.6191927459047555,0.02834000924029306,0.0,0.417621336067708,0.0,0.0,1,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,5
Camptothecin,1003,TOP1,DNA replication,cnaPAAD2,10,19,0.14148513931312492,0.25320350834696814,0.2247740895726635,0.34291172508222717,0.3958455982502869,0.3931255152288066,0.5243625739592427,0.3904872486074104,0.0,0.11038051066065435,0.0,1.0,0,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,6
Camptothecin,1003,TOP1,DNA replication,cnaPAAD3,3,26,0.2861206919783639,0.21093621137111726,0.21921881185532402,0.12746898949255922,0.28936405496664497,0.25827741618013733,0.48635794951269107,0.26816237512912,0.0,0.1544798627402284,0.0,0.0,1,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,7
Camptothecin,1003,TOP1,DNA replication,cnaPAAD4,17,12,0.24223319822323572,0.2519773991109937,0.250212987414835,0.12006501864759127,0.32542683620667273,0.5267382935244176,0.39737703059681556,0.13315623370336263,0.0,0.2365933433937312,0.0,0.0,1,0.5465026363923136,53,0.8895348837209303,0.3181818181818182,8
Vinblastine,1004,Microtubule destabiliser,Mitosis,ARID1A_mut,3,25,0.41937198169526224,0.35888673240570423,0.16853060596307812,0.06179494298160821,0.8465435412545832,0.31126157015755546,0.5418848871242061,0.11013933044216187,0.0,0.25884014336644695,0.0,0.0,1,1.0,222,0.627906976744186,0.6818181818181819,0
Vinblastine,1004,Microtubule destabiliser,Mitosis,CDKN2A_mut,3,25,0.41937198169526224,0.35888673240570423,0.16853060596307812,0.06179494298160821,0.8465435412545832,0.31126157015755546,0.5418848871242061,0.11013933044216187,0.0,0.25884014336644695,0.0,0.0,1,1.0,222,0.627906976744186,0.6818181818181819,1
Vinblastine,1004,Microtubule destabiliser,Mitosis,EP300_mut,3,25,0.19735986017315035,0.1989846692394422,0.18943223934894315,0.5561488812205523,0.33346462123587595,0.6631132971821404,0.5398621453220872,0.44346995614831697,0.0,0.09544777932085556,0.0,0.0,1,1.0,222,0.627906976744186,0.6818181818181819,2
Vinblastine,1004,Microtubule destabiliser,Mitosis,RNF43_mut,3,25,0.527924006333262,0.3830645766907753,0.16537019370604106,0.13709816583148984,0.9241231671365793,0.5173860184944964,0.5123090649850671,0.047225549713581436,0.0,0.35798934994270254,0.0,0.0,1,1.0,222,0.627906976744186,0.6818181818181819,3
Vinblastine,1004,Microtubule destabiliser,Mitosis,SMAD4_mut,8,20,0.3249503511216868,0.31720400607891885,0.15394310110419196,0.11848297794723671,0.7654921262383352,0.633057351351534,0.48027928609628734,0.0724312683674694,0.0,0.3079410154855265,0.0,0.0,1,1.0,222,0.627906976744186,0.6818181818181819,4
Vinblastine,1004,Microtubule destabiliser,Mitosis,TP53_mut,23,5,0.3222838500591345,0.23493340951450994,0.2656394273247167,0.2916730285602012,0.23602461259210622,0.5019885896260848,0.7586946730018863,0.12756804041713715,0.0,0.2416198053038409,0.0,0.0,1,1.0,222,0.627906976744186,0.6818181818181819,5
Vinblastine,1004,Microtubule destabiliser,Mitosis,cnaPAAD2,9,19,0.12187032112372215,0.22681640576729364,0.19530874704729592,0.40779734667434686,0.3977446216967776,0.4110883967699765,0.6099560144865164,0.47443686405225777,0.0,0.08752555557651413,0.0,1.0,0,1.0,222,0.627906976744186,0.6818181818181819,6
Vinblastine,1004,Microtubule destabiliser,Mitosis,cnaPAAD3,3,25,0.6507393871865684,0.09505975851257306,0.203016806963089,0.04132059595566667,0.0,0.3707441877257304,0.5019396363095691,0.016233230538457624,0.0,0.48243682617578143,0.0,0.0,1,1.0,222,0.627906976744186,0.6818181818181819,7
